"latlon_1","latlon_2","minutes","metres"
"52.207309,0.124159","52.207484,0.125924",1.5,125
"52.207309,0.124159","52.19617,0.126028",19.6,1611
"52.207309,0.124159","52.202093,0.116213",12.1,1006
"52.207309,0.124159","52.201027,0.125982",10.4,844
"52.207309,0.124159","52.204605,0.137934",13.8,1107
"52.207309,0.124159","52.196092,0.155114",32.3,2673
"52.207309,0.124159","52.208346,0.133488",8.9,698
"52.207309,0.124159","52.202987,0.138925",16.3,1313
"52.207309,0.124159","52.207449,0.122878",1.1,89
"52.207309,0.124159","52.221817,0.118453",29.2,2331
"52.207309,0.124159","52.215658,0.116916",18,1468
"52.207309,0.124159","52.20279,0.123446",8.5,681
"52.207309,0.124159","52.210305,0.144955",22.5,1840
"52.207309,0.124159","52.212441,0.112782",14.5,1149
"52.207309,0.124159","52.204852,0.1402",17,1378
"52.207309,0.124159","52.2047,0.133197",11.1,911
"52.207309,0.124159","52.204115,0.11827",8.4,684
"52.207309,0.124159","52.205447,0.128666",5.3,440
"52.207309,0.124159","52.197151,0.12947",16.7,1355
"52.207309,0.124159","52.200312,0.148074",29.2,2394
"52.207309,0.124159","52.194151,0.131287",21.5,1746
"52.207309,0.124159","52.20174,0.124801",9.2,737
"52.207309,0.124159","52.202564,0.141934",20.4,1655
"52.207309,0.124159","52.2281,0.145945",39,3156
"52.207309,0.124159","52.200081,0.113542",16.3,1355
"52.207309,0.124159","52.215347,0.110694",19.6,1537
"52.207309,0.124159","52.19519,0.131527",20.1,1632
"52.207309,0.124159","52.175104,0.112942",50.5,4108
"52.207309,0.124159","52.209395,0.118653",7.8,651
"52.207309,0.124159","52.207357,0.129475",5.5,426
"52.207309,0.124159","52.188419,0.152841",43.3,3587
"52.207309,0.124159","52.201476,0.116505",12.8,1067
"52.207309,0.124159","52.222428,0.135906",28.3,2269
"52.207309,0.124159","52.209025,0.118255",7.8,650
"52.207309,0.124159","52.214511,0.124679",13,1046
"52.207309,0.124159","52.210943,0.112564",13.3,1095
"52.207309,0.124159","52.188744,0.138899",31.2,2542
"52.207309,0.124159","52.187377,0.147348",38.1,3137
"52.207309,0.124159","52.229653,0.127701",40.3,3248
"52.207309,0.124159","52.205707,0.134211",9.8,803
"52.207309,0.124159","52.197912,0.123667",15.9,1303
"52.207309,0.124159","52.204654,0.13277",10.9,897
"52.207309,0.124159","52.213738,0.124159",13.3,1082
"52.207309,0.124159","52.199286,0.139698",19.5,1583
"52.204932,0.127807","52.198334,0.142623",16.2,1324
"52.204932,0.127807","52.193371,0.133181",18.1,1471
"52.204932,0.127807","52.21817,0.146081",26.6,2235
"52.204932,0.127807","52.230666,0.138805",44.9,3648
"52.204932,0.127807","52.207309,0.124159",6,510
"52.204932,0.127807","52.200288,0.14001",14.8,1210
"52.204932,0.127807","52.198979,0.134796",12.6,1017
"52.204932,0.127807","52.174445,0.111068",48.3,3957
"52.204932,0.127807","52.21381,0.127675",16.7,1360
"52.204932,0.127807","52.196295,0.125083",14.2,1162
"52.204932,0.127807","52.210223,0.115604",15.8,1321
"52.204932,0.127807","52.200195,0.126718",7.7,634
"52.204932,0.127807","52.196903,0.107245",25.4,2101
"52.204932,0.127807","52.186903,0.171259",52.2,4301
"52.204932,0.127807","52.198688,0.135513",13,1042
"52.204932,0.127807","52.213078,0.112826",21.6,1724
"52.204932,0.127807","52.200132,0.134222",10.2,814
"52.204932,0.127807","52.207484,0.125924",5,431
"52.204932,0.127807","52.19617,0.126028",15.2,1243
"52.204932,0.127807","52.202093,0.116213",13.7,1142
"52.204932,0.127807","52.201027,0.125982",6.2,506
"52.204932,0.127807","52.204605,0.137934",10.5,855
"52.204932,0.127807","52.196092,0.155114",26.8,2223
"52.204932,0.127807","52.208346,0.133488",8.2,681
"52.204932,0.127807","52.202987,0.138925",13,1062
"52.204932,0.127807","52.207449,0.122878",7.1,599
"52.204932,0.127807","52.221817,0.118453",31.1,2491
"52.204932,0.127807","52.215658,0.116916",22.2,1770
"52.204932,0.127807","52.20279,0.123446",8.9,722
"52.204932,0.127807","52.210305,0.144955",22.6,1878
"52.204932,0.127807","52.212441,0.112782",20.2,1629
"52.204932,0.127807","52.204852,0.1402",13.7,1127
"52.204932,0.127807","52.2047,0.133197",6.2,510
"52.204932,0.127807","52.204115,0.11827",11.1,915
"52.204932,0.127807","52.205447,0.128666",1,87
"52.204932,0.127807","52.197151,0.12947",12.1,977
"52.204932,0.127807","52.200312,0.148074",23.7,1944
"52.204932,0.127807","52.194151,0.131287",16.8,1368
"52.204932,0.127807","52.20174,0.124801",5.3,423
"52.204932,0.127807","52.202564,0.141934",17.1,1404
"52.204932,0.127807","52.2281,0.145945",40.8,3317
"52.204932,0.127807","52.200081,0.113542",17.9,1490
"52.204932,0.127807","52.215347,0.110694",25.3,2017
"52.204932,0.127807","52.19519,0.131527",15.4,1254
"52.204932,0.127807","52.175104,0.112942",46.8,3828
"52.204932,0.127807","52.209395,0.118653",13.6,1131
"52.204932,0.127807","52.207357,0.129475",3.8,328
"52.204932,0.127807","52.188419,0.152841",37.8,3137
"52.204932,0.127807","52.201476,0.116505",13,1088
"52.204932,0.127807","52.222428,0.135906",30.1,2430
"52.204932,0.127807","52.209025,0.118255",13.6,1130
"52.204932,0.127807","52.214511,0.124679",14.8,1207
"52.204932,0.127807","52.210943,0.112564",19.1,1575
"52.204932,0.127807","52.188744,0.138899",26.6,2163
"52.204932,0.127807","52.187377,0.147348",33.5,2759
"52.204932,0.127807","52.229653,0.127701",42.1,3409
"52.204932,0.127807","52.205707,0.134211",7.1,583
"52.204932,0.127807","52.197912,0.123667",12.1,987
